min,max
20.2,30.0
19.6,31.2
20.9,29.5
19.3,31.1
21.3,30.2
20.5,29.5
21.3,31.4
20.4,32.3
20.9,31.8
20.9,31.4
19.5,30.0
18.2,25.2
16.2,25.5
16.7,25.8
16.9,26.2
17.3,25.0
17.6,25.6
17.9,23.0
17.8,24.2
17.1,26.0
16.7,27.8
17.2,28.0
17.0,27.8
20.0,28.2
17.9,21.9
16.0,24.3
17.2,24.8
16.5,25.0
17.6,24.8
16.9,23.9
16.6,22.2
15.8,22.7
16.0,23.1
15.8,18.7
14.4,23.8
17.0,26.3
16.1,27.3
18.2,25.6
18.4,22.3
16.7,24.3
14.2,21.0
14.5,22.1
14.0,23.8
15.5,25.1
14.2,26.3
14.8,26.7
16.1,27.8
16.0,27.8
15.8,21.4
14.4,20.7
15.1,22.7
15.2,23.8
14.4,25.8
15.0,21.1
13.3,18.6
13.9,21.3
14.7,21.2
15.9,23.1
13.8,23.2
15.4,21.8
13.7,24.7
13.0,25.4
13.6,27.1
15.8,22.2
17.4,21.4
12.8,20.5
11.1,24.0
11.2,24.7
14.2,25.5
15.1,28.0
22.5,27.2
16.9,23.3
16.4,22.1
14.6,23.2
14.0,26.3
15.4,27.0
17.1,25.7
15.6,26.4
15.8,26.7
17.6,22.1
16.1,20.1
17.0,21.0
17.4,20.6
16.0,18.7
12.9,21.1
12.6,18.8
13.0,21.4
12.7,23.0
13.9,19.8
13.3,19.4
12.3,20.1
14.2,19.8
15.4,21.3
