min,max
18.5,25.4
18.9,24.4
18.3,22.2
18.1,25.6
19.2,25.4
18.1,25.9
17.5,27.3
18.9,27.0
19.8,27.1
20.1,26.3
19.8,27.0
19.4,27.0
18.5,25.9
18.2,26.3
18.5,25.4
18.4,28.9
20.5,28.8
20.3,22.8
19.0,24.4
18.7,25.6
18.9,25.7
18.1,26.6
16.5,26.8
17.4,25.4
19.4,22.5
18.9,25.1
18.7,23.2
16.0,21.0
14.0,24.1
14.8,26.6
15.2,27.2
17.6,25.2
16.7,19.9
16.0,24.6
16.3,23.6
14.7,21.7
16.3,24.3
17.0,24.6
16.8,22.9
16.3,23.1
15.9,25.8
16.3,24.5
15.3,23.2
16.2,22.1
15.9,23.5
15.5,24.1
15.1,24.2
16.0,24.9
16.9,24.2
13.8,23.5
16.1,26.5
17.1,23.9
17.3,26.0
16.0,27.1
17.4,27.3
19.4,27.1
13.9,19.9
12.9,19.0
12.4,21.0
15.1,24.2
15.1,24.1
16.3,20.7
16.0,23.6
14.8,23.3
14.0,24.1
14.1,25.7
15.9,25.9
18.5,26.3
17.1,23.8
18.1,25.1
15.4,18.5
15.0,20.9
16.2,24.2
12.0,20.4
8.5,14.9
8.7,16.8
6.8,21.3
11.5,24.9
15.4,20.8
12.2,17.7
10.6,20.3
12.6,23.9
14.2,18.9
14.7,20.3
12.8,15.6
10.4,17.1
10.6,18.1
11.2,18.7
11.1,19.4
16.2,20.3
11.0,20.5
11.6,19.2
11.5,22.0
