min,max
19.8,31.7
19.5,29.4
19.1,30.0
18.9,30.3
19.3,30.9
19.9,30.5
20.0,31.9
19.4,25.1
18.9,27.1
19.6,29.9
20.6,29.6
20.0,28.7
18.7,29.9
17.4,22.8
15.5,26.9
18.4,28.1
17.9,28.5
18.8,25.8
18.1,22.0
18.9,21.9
18.0,22.5
15.6,25.6
16.0,26.5
17.6,27.5
18.4,28.3
18.2,24.6
19.4,23.5
18.1,27.0
19.0,27.8
20.4,25.1
17.8,24.3
14.8,21.1
12.4,23.3
14.0,23.9
16.7,24.9
16.0,25.5
15.4,25.7
17.5,23.2
18.0,24.0
15.9,18.6
15.8,24.5
17.9,27.1
18.5,26.6
18.4,27.9
18.1,27.0
19.0,27.9
18.7,28.7
18.9,26.3
18.4,27.7
18.1,27.4
18.6,26.1
18.1,22.0
17.2,24.5
14.9,20.2
13.3,20.5
13.2,22.9
12.2,23.1
11.2,23.2
13.8,20.8
12.4,21.7
12.9,22.6
12.5,24.4
12.5,23.8
13.7,24.9
14.2,24.8
14.2,24.4
16.0,26.0
15.4,26.6
15.9,26.1
16.8,22.8
15.3,19.0
14.5,18.7
15.3,16.4
15.0,20.4
14.7,20.5
14.6,23.4
12.8,24.5
12.9,24.2
13.1,22.5
12.2,23.8
13.4,23.8
13.3,24.9
15.4,25.7
17.3,26.8
16.2,27.1
15.9,18.3
14.9,16.6
15.5,17.9
12.2,16.2
9.6,17.9
11.5,19.1
11.7,19.8
13.1,22.6
