min,max
20.2,25.7
17.0,21.0
15.9,21.3
16.5,28.6
18.4,28.4
18.2,30.9
19.0,29.7
19.4,28.5
19.5,24.4
17.5,25.4
17.4,26.3
17.7,28.2
18.8,26.6
17.6,28.5
17.7,29.4
18.7,31.6
21.4,30.4
22.5,29.8
21.0,26.0
19.0,23.5
18.4,21.4
16.8,21.4
17.8,28.0
19.0,28.5
19.8,29.4
18.3,21.9
18.7,27.5
19.6,28.2
19.5,26.8
17.2,26.6
16.0,27.4
16.5,27.7
19.4,28.7
20.4,28.2
20.8,26.5
20.1,28.7
20.8,28.6
20.3,27.0
19.6,28.8
17.0,28.7
18.0,23.8
18.2,26.1
17.6,26.7
20.0,28.0
19.5,28.8
20.3,28.9
19.4,28.8
19.7,27.6
18.4,24.2
17.6,22.0
17.3,23.2
17.5,26.5
18.9,27.8
20.6,27.9
19.6,27.4
17.2,26.8
16.6,23.0
16.7,20.4
16.7,19.8
16.3,20.0
16.4,24.4
15.6,23.0
15.1,24.5
14.7,25.4
16.2,27.2
17.5,20.8
11.5,18.1
14.4,23.1
13.0,25.8
14.7,26.9
16.8,26.4
18.8,26.6
19.4,26.3
18.5,24.3
17.6,20.3
16.4,20.0
12.7,17.4
12.4,18.0
13.1,20.7
11.7,23.0
13.1,22.3
11.1,21.4
12.2,22.8
12.6,23.9
14.1,25.2
15.5,26.5
16.3,26.9
16.3,26.2
17.7,26.2
15.6,23.1
14.9,23.8
15.4,24.3
15.4,23.0
