min,max
21.1,29.6
20.6,27.2
20.1,26.6
17.6,20.6
17.3,22.4
16.3,24.4
17.5,24.1
18.6,26.4
18.8,27.4
19.1,28.0
19.9,28.7
20.1,28.6
19.9,28.5
19.9,26.3
19.6,26.1
20.2,25.4
16.6,27.5
17.7,30.0
18.4,30.6
17.7,29.5
20.1,29.7
21.0,29.0
18.7,29.5
20.4,29.9
19.5,26.1
17.1,20.2
16.5,19.0
17.3,22.4
18.7,26.3
19.0,28.2
17.7,30.4
19.0,25.2
18.6,26.0
18.1,23.4
18.2,23.8
17.9,20.9
16.4,22.6
15.5,20.0
14.4,21.1
13.6,19.3
12.2,22.5
12.4,24.3
17.7,22.9
16.7,25.7
17.2,25.6
15.7,26.9
17.1,27.2
17.7,26.2
18.7,27.2
17.3,26.9
16.8,22.9
14.5,20.4
13.9,19.6
12.7,23.7
14.1,24.8
15.0,24.3
14.9,25.3
15.2,25.2
17.1,22.6
15.1,25.5
15.2,22.4
15.3,23.7
14.6,26.4
19.2,26.9
16.5,21.4
14.6,16.2
14.0,16.7
15.9,20.9
11.8,17.3
13.3,18.5
12.5,17.5
12.1,21.0
12.8,23.9
14.6,21.4
13.8,21.2
10.0,18.9
10.1,23.2
12.1,25.7
18.1,23.1
17.0,27.9
16.5,27.4
17.9,24.0
15.8,17.9
15.3,21.5
15.5,24.7
15.1,27.0
15.7,26.0
17.6,20.3
17.1,25.9
15.8,25.8
15.4,25.5
13.0,16.2
12.7,16.2
