min,max
17.4,21.8
16.8,23.2
15.8,25.8
17.2,29.7
18.1,29.6
21.7,29.8
22.5,28.9
20.7,27.1
19.9,26.4
20.0,28.5
19.6,29.9
18.1,24.9
16.8,20.5
17.2,22.4
18.4,28.1
20.1,30.3
20.0,25.5
18.0,27.0
17.6,26.9
18.7,29.8
19.5,28.8
19.6,28.0
18.4,28.5
20.2,28.8
21.2,26.2
17.9,25.8
14.6,21.3
13.2,21.7
14.5,20.0
14.0,23.4
15.3,25.8
15.9,25.6
15.7,26.5
15.7,27.8
20.5,27.9
17.2,27.4
19.1,28.2
18.4,30.5
18.3,30.1
19.3,29.4
19.6,24.8
18.4,22.1
17.8,28.2
18.9,27.9
18.9,28.4
16.5,22.4
12.8,18.5
14.9,20.2
14.9,17.9
15.5,20.2
15.7,23.0
14.6,23.6
15.9,24.5
16.3,22.9
16.3,24.8
16.1,25.4
16.8,23.0
17.0,21.7
12.9,17.6
7.2,12.2
8.4,12.7
7.7,18.3
10.7,19.6
11.6,21.2
10.9,23.4
12.6,24.6
13.2,24.5
13.4,24.2
13.9,25.1
14.5,25.4
16.5,26.1
16.7,25.2
16.0,17.9
15.6,22.1
16.5,21.0
14.9,18.5
14.4,19.8
13.9,23.7
12.8,24.3
15.8,24.7
16.4,17.8
15.7,20.8
16.9,20.5
14.5,16.9
11.2,17.9
8.3,18.3
10.1,17.8
11.7,18.5
10.7,25.5
11.6,25.4
13.5,22.0
13.3,18.0
14.2,22.5
