min,max
15.9,22.3
18.3,23.1
19.4,27.3
18.5,25.1
17.8,25.6
19.1,25.2
18.2,23.9
17.7,24.0
18.7,23.7
16.7,22.3
17.2,25.6
18.0,26.5
18.2,29.7
20.0,23.5
18.5,25.8
19.3,27.2
20.6,24.0
19.4,26.2
18.8,25.2
19.5,24.2
18.5,25.2
17.4,22.3
18.7,27.4
18.7,27.1
18.4,23.9
15.8,18.2
14.6,24.6
14.7,23.8
14.9,22.5
13.6,23.1
15.2,23.7
14.5,23.6
14.0,22.0
14.6,21.2
14.4,23.0
15.3,23.5
14.1,23.4
13.8,25.3
14.7,24.5
14.6,25.0
15.9,24.5
16.4,28.7
18.0,24.9
17.8,27.9
17.6,28.5
19.0,28.3
19.3,26.1
12.6,20.6
11.4,21.9
12.9,19.8
10.4,23.5
12.1,22.9
13.8,24.7
13.9,25.4
14.6,26.3
15.3,26.4
17.7,28.4
19.6,26.2
14.9,19.9
15.7,20.1
16.5,21.4
16.6,26.0
18.6,24.2
17.0,22.2
15.9,18.4
14.8,18.2
12.8,21.7
14.0,21.7
13.9,17.4
12.7,17.3
15.8,19.2
15.8,19.6
14.3,21.7
14.4,25.9
15.5,20.1
14.6,18.6
10.6,21.4
12.5,24.1
13.4,25.0
14.7,25.0
15.7,23.1
16.2,24.3
14.6,25.3
16.3,23.5
16.8,24.0
16.3,24.0
15.4,23.5
14.6,18.5
15.0,21.3
16.4,19.6
14.3,22.0
13.5,26.4
16.6,22.0
