min,max
19.0,28.6
20.3,30.4
21.2,30.0
20.7,28.1
19.0,27.0
20.1,28.2
20.1,27.8
21.6,29.2
21.9,30.0
19.7,30.5
21.1,29.3
21.0,31.0
21.0,28.7
19.0,29.5
19.8,30.7
21.1,28.4
19.8,29.4
19.4,29.5
19.3,31.9
21.1,30.4
20.4,32.3
21.7,30.9
21.2,29.5
20.3,30.6
20.8,30.3
19.9,30.6
22.0,31.5
20.9,31.0
20.0,30.5
20.6,31.4
21.1,31.0
22.2,30.1
20.7,30.1
20.7,30.0
20.6,30.5
21.1,30.7
21.4,30.1
20.7,26.0
16.0,21.0
13.1,20.5
12.4,16.4
12.7,21.5
11.6,20.1
10.7,22.8
13.5,24.8
14.3,24.7
15.4,23.6
15.2,26.1
17.3,22.9
17.8,23.1
17.1,25.1
18.5,23.7
16.2,23.3
16.9,21.3
15.6,21.2
15.6,22.1
15.5,26.0
18.5,25.9
15.8,23.8
14.7,16.5
14.2,16.2
14.2,23.5
14.8,19.6
15.9,25.9
12.5,20.7
10.1,17.7
13.0,20.9
14.2,23.5
15.9,19.2
16.2,21.1
15.2,22.1
15.0,20.5
15.5,22.9
17.6,23.2
15.7,22.5
15.8,20.7
15.3,19.9
16.9,22.0
16.4,23.6
12.6,14.2
10.9,18.4
9.6,15.8
6.1,18.3
7.5,16.3
6.7,16.4
4.1,16.3
7.7,19.4
8.9,22.8
11.5,24.6
12.5,24.9
13.2,21.0
13.0,24.0
12.2,15.5
