min,max
14.4,19.0
15.4,19.9
12.6,19.4
13.6,22.3
14.0,17.1
12.1,20.51
13.3,22.6
12.5,24.3
13.0,23.6
14.8,24.4
13.9,25.2
14.2,25.9
15.0,25.1
14.6,24.9
15.1,24.6
14.2,24.6
17.4,22.6
11.8,18.3
11.9,18.6
11.5,22.8
16.7,23.8
15.4,19.8
11.3,18.7
9.0,20.51
9.0,16.2
11.9,13.2
13.0,18.7
12.2,16.0
8.9,20.3
10.2,21.7
12.2,24.5
13.6,26.8
16.6,27.4
16.6,27.1
16.9,23.2
15.5,27.5
16.4,25.0
15.1,25.4
15.9,26.7
15.3,22.1
14.4,19.7
14.8,23.7
14.0,25.7
15.1,25.5
17.1,25.5
16.5,21.0
13.5,20.1
11.9,21.4
13.1,24.4
13.1,25.1
13.4,25.8
13.8,25.3
16.1,25.4
14.6,26.2
14.2,24.6
16.3,26.4
15.9,23.2
15.4,24.7
14.7,25.2
14.4,24.7
14.3,26.2
14.5,27.2
15.4,26.5
14.2,24.5
14.5,26.2
14.9,27.1
15.5,24.1
14.3,24.8
14.4,23.4
14.2,21.3
14.4,20.6
13.4,27.0
13.2,28.3
13.9,29.5
15.7,23.8
14.1,19.5
14.0,29.1
16.8,29.4
15.5,29.8
18.1,30.7
19.7,31.7
18.5,31.8
18.9,29.8
16.6,30.1
17.6,20.7
16.9,25.7
17.5,30.5
17.8,32.2
18.5,32.4
21.5,33.2
21.7,32.7
19.1,22.7
16.5,20.9
