min,max
14.0,18.3
14.8,22.0
14.1,24.3
13.6,25.2
14.7,25.7
14.7,25.9
15.4,27.0
15.8,26.9
17.5,21.9
12.5,21.6
12.0,22.0
12.3,25.9
17.0,28.5
16.1,29.0
16.1,26.6
16.6,24.8
16.0,22.1
15.6,18.4
14.4,19.2
14.1,18.1
13.7,17.9
13.9,19.0
13.6,20.9
12.8,20.3
12.9,21.3
12.2,23.7
14.2,26.2
16.5,21.7
12.1,19.7
12.2,21.08
21.08,21.08
21.08,21.08
21.08,21.08
21.08,21.08
21.08,21.08
21.08,21.08
21.08,21.08
14.6,21.08
13.4,18.3
12.6,21.8
11.5,23.3
12.3,25.9
14.9,26.7
14.6,28.9
15.5,28.8
11.4,23.4
10.0,23.3
9.6,27.6
15.4,20.1
15.1,19.5
14.1,24.9
14.5,27.1
15.2,29.3
10.5,23.0
9.2,12.4
12.1,19.7
14.2,21.6
14.4,23.7
16.5,23.8
13.2,20.6
13.3,22.9
14.2,27.8
15.0,28.7
15.6,28.7
15.6,30.2
15.9,31.2
19.2,23.7
13.8,23.0
11.5,20.8
12.2,17.7
13.7,23.9
14.1,30.8
15.3,26.1
16.2,29.6
15.1,25.8
14.2,18.2
13.2,21.3
11.4,26.6
14.0,28.0
17.5,27.5
16.2,30.5
19.0,31.0
18.3,32.2
17.0,29.1
14.8,29.0
15.6,31.5
17.9,31.5
16.8,24.4
15.4,22.3
15.9,26.6
17.1,21.7
18.6,22.5
16.5,21.7
