min,max
13.6,22.2
11.0,24.0
11.6,22.8
16.5,21.7
15.0,17.1
14.3,17.1
14.0,18.2
14.1,18.0
13.5,24.4
14.3,24.5
16.3,24.6
15.1,19.6
12.6,15.9
14.2,20.7
13.8,20.8
14.5,21.5
13.0,24.8
13.4,25.2
15.1,25.1
17.3,21.5
14.2,20.8
10.5,15.7
8.6,21.9
11.6,19.3
13.1,18.2
14.1,24.7
14.0,26.0
16.9,23.6
13.0,17.0
11.8,15.0
10.1,22.1
12.9,27.2
15.0,18.3
11.7,17.4
11.6,14.5
14.2,21.5
16.2,20.3
16.5,22.2
15.4,20.1
14.1,16.4
13.1,15.7
15.2,20.7
14.3,26.2
17.5,22.2
13.9,22.0
14.9,26.5
17.6,28.4
16.7,24.2
15.5,29.3
17.0,27.7
15.3,23.8
12.2,16.0
13.0,21.8
12.4,25.3
11.9,25.7
12.1,26.2
14.9,27.1
15.0,27.6
16.3,21.1
16.2,21.9
16.3,20.8
11.6,18.1
9.9,15.8
12.6,15.9
14.3,21.0
14.9,17.3
14.0,21.4
13.4,24.2
12.9,25.1
13.4,26.5
13.2,26.4
13.5,27.8
16.8,28.8
17.9,31.0
18.3,30.7
18.0,21.4
17.7,24.9
16.8,19.2
17.6,28.1
16.1,24.5
17.6,21.9
17.1,23.6
16.3,24.2
17.0,27.6
17.6,28.8
15.6,19.0
15.5,20.4
15.7,26.3
16.6,21.5
15.9,29.0
17.8,25.1
17.2,22.1
15.3,18.6
