min,max
11.6,23.4
12.5,24.3
13.4,24.3
14.4,26.1
14.6,26.4
14.6,26.4
15.1,25.3
14.8,25.1
15.9,22.7
15.7,21.8
14.6,22.8
13.8,21.0
13.0,18.6
10.7,22.0
10.7,23.0
11.7,23.7
14.8,24.0
13.9,25.4
16.7,22.3
15.6,22.8
17.1,27.5
17.2,28.2
17.9,25.4
11.6,18.9
10.2,20.5
10.2,23.5
15.6,25.9
15.1,17.9
14.3,17.5
14.4,21.4
14.5,24.3
14.0,22.6
12.9,25.7
14.2,26.1
14.9,25.8
15.2,26.8
15.9,26.4
16.6,26.2
13.3,18.8
13.0,19.8
14.7,24.9
15.4,24.6
13.8,28.3
15.2,28.8
14.1,25.4
17.0,28.3
14.4,29.8
17.5,29.9
16.5,18.8
15.9,24.9
15.7,26.2
16.7,30.2
15.3,26.9
13.6,17.9
13.8,17.6
16.2,25.4
17.8,27.1
16.6,28.5
17.0,29.3
19.0,24.7
15.8,25.0
17.8,26.7
15.6,30.2
21.8,32.0
23.1,31.7
15.8,22.9
11.9,15.4
11.2,12.7
11.1,15.6
13.7,23.0
14.4,25.2
12.6,26.0
13.0,27.5
16.9,29.7
18.0,31.2
21.3,30.9
16.9,27.5
16.0,19.6
15.4,26.5
15.2,30.2
19.3,26.7
18.6,26.0
17.9,30.1
18.8,30.9
18.6,32.6
14.1,28.3
13.4,21.0
13.6,29.4
17.9,33.0
20.2,33.1
22.4,32.3
18.9,31.3
17.7,31.4
