min,max
12.1,14.0
12.7,20.6
12.6,23.5
11.9,20.9
13.2,20.3
13.7,22.1
11.4,21.1
11.2,20.8
12.9,23.4
14.1,23.0
13.7,24.2
14.6,25.2
14.5,25.3
14.7,26.3
14.1,26.0
17.8,25.7
12.7,21.4
9.9,19.9
8.8,22.7
11.7,27.3
15.0,28.0
20.1,28.2
15.9,25.4
15.4,27.2
18.7,28.3
17.5,23.1
11.2,18.7
9.3,17.0
9.7,15.9
10.8,17.3
11.5,17.8
11.6,17.4
11.7,23.8
13.1,26.7
14.6,25.4
13.4,26.2
14.5,26.7
11.2,18.7
12.7,18.2
13.9,23.3
14.3,23.5
14.5,24.9
14.5,20.8
14.3,21.9
15.3,24.1
14.1,26.7
16.1,27.9
16.4,22.9
14.3,18.7
15.2,22.2
12.2,19.7
9.5,14.2
10.9,18.9
10.9,25.8
12.0,29.4
14.8,28.7
15.8,22.4
16.2,28.3
15.4,22.8
14.0,27.3
16.1,21.3
9.7,18.4
9.0,13.9
9.9,20.8
13.2,23.0
13.5,25.8
12.7,27.8
13.8,28.0
14.7,29.9
17.6,30.6
19.2,27.5
15.4,22.4
14.2,23.3
15.8,24.4
18.2,25.1
17.3,21.0
17.4,23.1
16.7,19.6
17.0,18.8
12.6,25.9
14.2,22.1
16.2,26.0
17.1,29.1
17.0,30.5
20.6,31.5
22.3,27.0
15.5,23.5
13.0,19.1
15.7,28.4
17.5,32.3
16.3,26.4
13.2,18.0
11.3,19.7
