min,max
12.9,24.1
13.3,24.4
16.2,24.3
12.9,17.2
12.6,17.3
12.4,20.2
11.1,20.2
11.6,21.3
11.1,23.7
14.1,24.5
16.5,20.2
15.3,19.7
15.5,18.3
11.1,21.0
11.1,14.2
11.8,20.2
14.0,20.2
15.9,18.6
15.5,20.1
14.5,24.9
16.1,19.4
14.2,27.0
17.2,28.1
18.9,28.5
17.4,27.1
16.3,25.3
16.2,23.0
15.6,23.5
14.8,25.2
15.4,25.0
14.0,21.0
12.9,15.9
14.3,20.1
14.6,25.2
14.8,17.2
13.8,22.6
11.2,22.5
11.7,24.0
11.2,24.1
11.9,26.3
13.9,26.4
15.5,26.0
14.1,25.7
15.1,26.8
15.8,26.7
15.1,26.2
16.7,27.3
15.7,28.8
16.5,27.8
15.8,26.3
15.5,27.1
15.6,26.9
14.2,26.4
14.3,27.6
15.7,27.0
16.2,26.2
16.7,26.3
15.5,27.5
17.0,26.4
17.3,27.8
15.1,19.4
13.4,21.8
14.4,25.6
13.8,29.5
15.4,20.0
14.6,20.0
15.0,23.7
13.7,18.7
13.1,21.1
12.4,26.4
14.7,31.6
17.1,31.4
17.5,29.8
14.4,20.0
15.0,24.6
15.3,18.7
14.6,18.0
13.6,19.1
15.2,24.4
16.2,19.0
16.3,22.8
14.2,25.6
14.0,21.4
13.1,15.5
12.7,16.2
13.1,21.9
15.6,29.6
17.9,32.0
20.6,32.3
21.3,34.0
21.1,34.8
19.4,32.7
17.6,32.4
