min,max
16.2,23.9
17.0,22.7
13.7,17.9
14.6,17.4
15.6,16.9
16.1,18.7
16.2,20.9
16.7,24.0
15.6,26.4
15.9,20.1
13.6,16.9
13.3,15.6
13.5,20.5
13.4,21.6
13.1,26.6
13.0,25.8
14.5,25.1
14.8,19.5
14.6,17.8
14.3,21.0
13.3,19.4
11.4,23.2
13.5,24.5
14.7,26.0
15.5,24.3
13.4,22.3
11.6,24.1
14.0,25.9
15.5,22.2
14.7,26.0
18.2,25.5
14.8,22.2
7.4,19.93
5.7,19.93
8.1,19.93
9.1,19.93
11.3,19.93
8.5,21.9
10.5,21.0
8.5,23.7
10.3,26.5
11.8,27.1
13.6,26.7
15.5,29.2
15.0,27.4
15.5,22.5
13.5,25.1
13.8,24.6
15.9,27.2
16.9,28.1
16.0,27.3
10.6,20.8
8.5,24.9
14.0,26.4
9.2,21.4
8.0,12.1
9.3,20.1
12.2,16.8
12.3,19.93
12.9,21.6
13.4,23.1
12.6,25.4
15.4,25.5
16.8,28.9
16.2,27.5
15.3,29.8
14.6,26.2
11.6,18.9
10.2,19.93
10.1,22.8
11.3,25.9
13.2,27.3
15.7,29.7
15.9,29.5
16.1,23.2
13.7,16.5
13.4,18.4
14.1,23.6
14.7,25.6
13.2,27.1
14.8,27.6
15.1,28.6
15.1,27.9
15.8,29.0
16.5,27.9
16.4,29.5
17.4,31.1
19.2,28.3
17.0,20.1
13.5,18.9
15.0,20.4
17.0,29.5
17.9,31.9
