min,max
14.1,25.0
15.3,24.3
14.7,26.6
18.2,27.9
16.0,27.0
16.8,25.9
15.4,22.8
15.3,25.6
14.7,25.3
15.1,26.0
14.9,26.3
14.9,27.0
16.3,24.0
15.7,22.9
14.7,26.5
15.3,26.1
13.7,24.8
15.6,26.3
14.7,25.7
10.5,15.5
9.6,15.5
9.9,18.8
9.2,23.0
14.1,25.8
13.0,27.5
13.9,28.3
14.5,26.6
13.8,26.9
15.1,27.0
15.2,28.2
15.8,27.1
15.1,21.3
15.6,24.7
14.2,19.3
15.0,23.0
15.0,24.1
14.4,26.0
15.1,26.9
16.3,27.9
16.7,23.8
13.9,18.1
12.5,14.0
12.6,17.2
14.5,15.9
14.3,19.7
14.5,19.6
13.4,14.8
12.1,17.6
14.0,26.1
16.4,24.1
10.3,19.9
10.8,21.8
10.9,18.5
10.2,21.0
12.8,27.4
13.0,17.0
14.3,16.6
13.5,17.3
13.2,22.0
13.8,25.3
15.1,27.7
15.6,28.1
14.9,26.1
16.7,27.6
17.8,29.4
16.2,21.7
11.5,15.6
11.2,16.4
13.3,24.6
13.9,25.5
14.9,28.4
16.3,29.6
17.0,31.3
16.4,30.8
15.6,25.4
12.1,16.4
11.2,15.3
9.9,21.4
12.8,27.3
12.2,26.2
12.9,24.1
14.0,25.0
14.4,23.0
15.0,23.3
15.2,26.0
16.0,19.1
16.1,22.6
15.1,22.4
14.6,19.3
18.3,23.5
18.9,29.2
18.3,23.5
17.3,27.8
