min,max
13.1,22.5
14.3,29.4
14.5,19.2
13.2,16.2
12.5,20.3
11.8,22.9
13.9,27.0
14.1,26.0
14.2,21.9
13.6,19.3
15.5,23.5
16.4,18.1
16.0,21.8
14.7,21.2
15.6,24.9
13.8,20.6
13.2,27.1
16.1,23.4
15.6,21.7
15.3,23.7
15.7,30.5
18.1,28.5
18.0,26.3
19.0,28.0
19.2,32.3
19.7,34.4
20.5,33.3
20.1,35.2
20.6,33.6
18.8,22.7
17.3,20.8
17.5,27.6
19.4,30.2
19.3,21.6
19.7,29.8
18.7,26.0
14.2,24.2
12.5,21.7
15.3,22.9
17.0,29.5
18.7,29.7
21.4,31.1
16.7,22.7
16.4,19.1
15.5,21.4
16.0,26.8
17.0,27.0
16.7,29.1
17.9,30.5
17.3,29.2
19.1,31.9
17.4,23.3
16.9,18.5
17.2,21.8
17.6,23.0
17.0,29.0
18.7,29.8
14.2,21.0
13.0,18.6
12.2,24.6
14.0,28.5
18.4,26.2
18.2,26.4
18.4,25.9
19.4,29.2
18.4,29.9
19.7,30.3
21.6,31.8
17.1,24.2
15.0,19.0
15.5,21.9
17.4,27.6
18.9,29.1
18.3,29.3
16.0,27.4
16.0,29.9
18.7,30.1
19.8,31.1
21.1,30.1
20.9,30.0
21.9,27.1
19.5,23.3
19.7,31.1
18.9,25.9
15.6,18.5
14.5,22.0
16.2,27.4
16.6,28.2
18.1,29.1
18.5,28.4
