min,max
16.0,28.4
16.6,32.2
16.9,32.5
17.4,25.9
18.3,31.7
19.5,28.8
18.8,22.2
18.4,27.8
19.3,28.3
18.9,25.1
17.7,30.9
20.1,31.6
18.6,22.8
13.9,18.2
13.9,17.8
15.3,19.0
17.4,21.4
18.7,27.7
20.1,27.7
18.0,20.3
18.1,27.1
19.0,30.3
17.0,20.3
16.6,24.6
17.1,24.7
19.4,28.7
19.1,29.1
17.5,20.8
14.9,21.2
12.8,21.5
15.3,27.1
16.0,29.3
16.9,19.1
17.0,20.9
18.5,25.0
18.6,25.3
14.9,18.6
13.6,19.7
15.6,27.8
16.7,30.5
18.1,27.1
18.1,26.3
18.0,30.6
17.2,22.3
15.1,20.5
16.1,22.6
16.3,23.1
15.8,20.3
16.3,23.9
17.4,24.7
19.1,28.4
18.7,30.3
19.4,31.7
21.9,31.5
20.8,29.0
18.6,24.8
16.7,27.9
18.9,28.3
14.3,19.6
14.8,19.0
15.2,20.1
17.7,27.6
18.6,29.0
18.8,25.3
18.6,24.1
17.3,21.7
15.5,24.7
17.9,28.0
19.3,29.2
19.9,31.0
18.7,25.9
19.0,26.7
16.5,22.3
16.0,29.1
20.4,29.1
17.9,28.4
17.3,23.7
13.9,19.8
12.9,26.5
15.8,29.8
19.2,30.1
20.4,32.4
20.7,30.8
19.8,33.2
22.4,32.6
22.2,31.7
22.1,33.2
20.8,33.2
21.2,30.3
21.8,32.6
