min,max
12.6,17.6
12.1,20.9
12.1,29.1
14.4,20.6
15.3,30.1
17.4,29.9
16.6,31.8
17.9,27.7
16.0,25.2
16.9,22.1
17.1,25.0
17.8,27.7
17.7,25.6
15.9,18.2
16.3,30.8
16.2,21.2
14.5,23.8
15.3,17.4
15.0,18.0
15.6,20.1
15.3,24.3
16.7,27.8
17.0,29.5
18.2,29.5
17.2,26.1
16.6,19.2
15.6,16.9
12.9,16.5
12.1,17.0
12.5,21.4
14.2,26.9
14.8,31.2
15.3,25.2
14.4,20.3
16.6,26.1
17.5,24.2
17.6,24.2
15.8,24.3
17.7,25.2
17.6,19.7
16.5,23.8
17.0,23.7
17.5,24.6
17.2,29.0
16.7,28.0
16.0,29.2
16.8,27.0
16.4,27.1
17.7,21.4
17.0,24.5
15.3,18.1
14.5,19.7
12.2,21.7
14.7,26.7
14.4,27.9
15.5,29.7
17.9,32.1
20.1,25.0
18.6,21.3
16.0,20.4
14.0,21.3
15.0,29.3
15.8,33.4
19.0,25.6
18.1,31.6
20.6,24.2
20.2,29.0
19.0,29.1
19.3,31.4
19.0,29.4
19.6,28.4
18.1,27.1
17.7,23.6
17.0,26.3
18.4,28.8
19.0,25.9
15.5,19.1
15.0,21.3
15.3,22.8
14.2,27.0
15.3,31.8
19.9,33.4
20.1,29.5
20.8,26.9
20.8,26.1
20.6,29.9
20.3,26.5
19.1,25.2
17.4,22.5
16.4,26.6
