min,max
19.3,33.0
18.7,33.0
20.9,34.6
19.7,31.0
18.4,23.8
18.4,30.0
17.9,23.2
17.7,26.1
18.8,27.4
17.9,25.4
19.6,31.9
17.6,24.3
17.5,21.3
15.3,22.4
14.8,24.1
16.7,31.5
19.4,33.4
20.2,28.4
19.8,27.7
19.8,29.4
19.3,29.3
18.3,27.7
18.5,28.1
19.3,35.4
21.6,35.5
18.1,28.8
15.9,18.4
15.7,26.7
17.6,35.0
21.6,31.7
17.8,22.8
18.0,26.9
16.5,20.5
16.0,18.9
16.3,28.4
19.6,28.1
19.2,23.6
18.7,24.3
17.4,30.1
18.6,28.8
19.0,22.1
18.7,26.8
20.7,25.0
18.7,26.4
18.4,24.7
19.1,22.6
17.2,19.8
17.7,23.9
18.9,28.4
19.7,31.8
20.1,32.1
21.2,30.8
20.4,29.5
19.8,30.0
19.6,29.3
19.8,24.1
19.1,29.7
18.4,29.5
23.4,30.4
20.2,26.2
17.3,23.3
17.5,29.1
19.9,22.9
19.6,22.3
19.7,25.0
19.4,27.3
18.0,28.4
19.1,29.1
20.4,25.7
17.1,23.0
16.9,25.6
18.9,28.0
20.4,25.7
19.5,28.3
19.9,29.1
20.7,27.3
18.4,23.4
18.4,27.2
20.1,26.3
22.6,26.6
20.9,29.0
20.8,30.9
19.9,30.0
21.1,31.9
20.7,32.1
20.4,24.5
19.3,28.2
20.0,32.6
20.1,30.6
20.0,29.5
