min,max
18.7,33.9
20.0,34.0
21.1,35.8
20.6,33.0
20.5,34.9
20.9,32.1
14.2,20.4
16.2,22.8
16.9,28.0
17.9,22.7
16.7,21.6
16.0,28.4
18.9,29.3
18.3,30.5
18.2,31.9
18.9,31.1
19.0,26.2
18.3,24.5
17.1,24.1
17.6,32.0
20.2,26.5
14.9,20.0
14.3,18.4
15.2,27.3
17.9,31.8
18.6,25.4
17.9,21.9
16.1,18.9
15.9,21.6
16.5,22.3
17.3,27.2
17.8,32.0
20.2,33.0
19.3,24.6
18.2,24.0
17.8,27.9
19.2,28.2
20.5,28.1
21.6,29.6
20.4,26.6
17.7,22.4
16.9,22.4
18.2,30.2
20.2,26.3
15.3,23.3
14.1,25.9
15.2,27.9
15.5,32.5
19.9,32.1
20.4,32.4
20.4,34.1
22.9,36.3
24.3,36.9
22.6,37.2
20.0,35.7
20.9,31.4
23.6,35.2
25.2,33.3
19.3,29.0
19.1,25.8
20.1,20.5
27.8,30.9
21.0,28.5
17.0,21.1
15.5,17.7
15.4,15.9
24.1,28.6
19.7,26.4
19.9,30.1
20.8,31.0
19.8,33.8
21.5,34.4
21.0,32.7
20.5,28.0
22.0,31.9
24.6,33.6
20.5,30.3
17.6,21.6
17.9,26.9
18.4,27.0
17.9,25.1
17.1,29.8
20.6,32.5
20.9,33.4
22.0,32.7
20.0,31.6
20.5,32.4
19.7,31.4
18.6,28.6
