min,max
12.2,20.1
12.8,19.2
12.7,17.1
12.8,22.2
14.2,20.1
14.7,19.7
13.5,19.8
11.8,22.9
14.7,20.7
16.4,29.5
16.7,23.4
17.4,27.3
17.7,28.6
17.6,23.7
14.2,17.6
14.8,20.6
13.0,16.8
11.7,16.4
12.8,23.6
14.6,25.8
16.9,27.4
17.5,31.0
19.5,31.7
19.2,33.5
18.9,31.3
18.1,22.6
17.0,23.3
16.4,18.3
16.4,24.4
17.6,28.1
18.2,26.9
19.9,30.2
19.2,29.9
19.4,31.8
18.9,32.6
20.1,28.2
16.9,21.8
17.0,28.7
17.6,26.0
16.0,18.9
15.0,24.6
17.5,27.1
19.4,27.0
17.4,26.3
16.6,29.1
19.5,25.2
18.1,26.0
17.8,25.0
17.9,28.1
19.0,25.6
18.8,22.8
17.5,25.1
17.1,26.5
18.7,26.6
18.4,30.0
18.8,27.4
17.2,20.0
16.5,22.9
15.3,19.5
13.3,22.6
14.8,23.5
16.5,23.7
15.2,25.5
19.6,19.6
19.6,19.6
19.6,19.6
19.4,24.8
18.4,24.9
18.1,25.7
18.3,26.8
18.2,30.1
18.8,30.2
15.5,21.8
13.9,22.8
13.9,25.3
14.2,27.3
15.7,27.3
16.4,31.3
18.5,33.8
20.5,31.0
18.0,24.7
17.1,20.3
15.7,22.1
16.1,23.0
17.0,24.3
17.6,21.8
17.1,25.4
17.8,23.6
17.1,24.7
18.1,25.5
