min,max
17.6,29.4
18.1,30.3
17.7,23.7
16.2,25.5
14.7,27.2
16.1,30.6
17.2,26.9
16.4,21.3
16.1,21.7
16.4,26.6
16.8,22.7
14.7,22.2
14.3,23.9
13.9,31.9
18.9,32.7
18.0,25.8
17.3,25.1
18.2,30.6
20.7,33.4
19.6,34.6
19.4,34.1
19.1,33.7
19.4,31.8
16.2,19.3
15.5,24.1
17.2,28.3
18.0,31.4
20.1,32.3
18.9,25.8
18.4,25.3
18.9,23.0
13.9,19.3
13.9,20.7
16.3,29.1
15.5,25.4
17.9,25.2
18.7,27.6
19.1,24.3
17.9,22.4
17.0,22.2
14.7,21.5
14.6,25.8
14.9,31.2
18.8,28.8
16.8,21.3
15.2,18.4
14.7,22.8
16.1,26.0
17.6,26.1
18.3,29.5
17.0,21.5
12.8,28.2
16.0,26.6
13.2,27.9
14.8,31.9
21.0,31.2
18.6,28.6
18.4,28.8
19.0,24.9
18.6,21.5
17.7,28.7
16.9,23.1
15.4,22.2
16.4,28.8
17.7,30.5
19.9,25.4
18.9,26.1
18.8,23.8
16.0,25.5
16.7,23.7
18.0,24.3
18.3,24.3
18.6,29.2
19.7,30.6
19.3,27.3
19.9,28.6
19.3,27.2
19.9,27.6
19.1,27.6
17.3,29.6
18.2,30.2
17.2,20.7
17.1,26.5
18.1,30.9
18.6,31.4
20.2,30.9
20.6,32.4
19.9,28.1
20.5,30.5
20.0,29.6
