min,max
13.5,16.1
14.1,22.0
15.1,27.5
15.1,28.8
17.0,31.7
19.3,34.2
20.5,31.7
19.0,25.7
19.2,36.4
19.8,36.7
24.6,36.6
20.7,29.6
19.4,22.1
18.9,35.6
21.4,36.0
19.2,37.3
19.6,28.3
17.7,20.4
15.7,24.3
12.9,24.5
14.1,27.9
16.0,31.2
18.8,32.1
16.2,21.6
15.2,16.9
14.6,19.6
15.3,24.9
17.8,28.8
17.1,26.5
18.0,26.1
17.7,25.1
16.5,28.4
18.7,24.9
18.8,26.3
17.6,27.0
17.3,30.9
20.0,32.0
19.8,32.5
14.8,19.8
14.7,18.2
13.8,17.1
12.8,20.4
12.2,21.5
13.2,23.0
14.1,22.5
13.2,23.9
15.0,28.3
14.4,30.6
17.1,29.3
18.9,28.0
18.9,29.4
18.4,26.8
19.0,28.6
19.7,30.3
20.3,32.0
21.1,29.1
18.7,25.7
15.8,20.1
14.3,20.0
13.6,21.4
13.7,24.7
15.4,25.3
16.4,25.4
18.2,29.8
17.8,31.9
20.5,31.2
19.0,30.4
19.5,33.0
19.9,30.9
21.2,31.5
20.5,27.8
19.7,27.9
20.7,29.7
21.0,30.7
20.1,24.7
18.4,24.6
18.6,25.4
19.3,27.7
18.5,28.0
19.0,26.5
19.1,26.0
20.1,27.5
20.3,28.9
19.1,28.7
20.1,30.8
19.5,31.1
19.0,29.8
19.8,30.0
20.7,31.9
19.9,31.9
