min,max
24.0,32.0
24.7,33.3
22.3,28.8
21.6,27.4
21.2,27.6
20.3,29.5
19.6,32.2
19.8,31.8
22.0,32.9
23.4,33.9
23.4,33.6
22.4,34.2
21.3,34.1
22.6,32.7
21.7,31.8
22.5,32.1
22.1,34.9
23.5,34.9
22.9,36.3
23.3,35.7
22.9,29.5
19.0,25.5
18.7,25.8
19.0,29.6
18.3,30.2
18.8,27.9
20.6,28.5
21.3,29.7
21.9,28.5
21.0,26.4
18.7,23.8
20.9,27.2
20.9,25.7
18.0,30.3
19.9,23.5
18.8,22.4
18.8,24.7
18.3,27.3
18.7,29.2
19.3,30.9
20.5,28.5
20.8,30.1
23.3,32.5
22.6,31.4
21.1,31.5
20.2,27.4
18.4,26.7
19.5,27.4
20.1,26.0
20.7,27.7
22.0,28.2
21.6,30.4
20.4,30.4
20.8,30.3
20.5,31.6
19.2,28.3
19.2,29.3
20.5,30.7
20.0,26.9
18.3,25.4
17.4,28.2
19.6,29.2
18.9,29.7
20.1,31.2
18.8,28.5
19.5,26.0
19.6,24.2
19.6,23.0
20.2,26.6
20.2,27.4
19.2,26.2
20.1,25.5
19.8,26.8
20.2,27.1
18.7,28.8
18.5,24.9
19.7,23.9
19.2,27.2
20.0,28.5
20.0,32.1
22.2,31.7
21.3,30.9
19.7,29.5
19.2,29.3
21.4,28.3
21.2,26.2
20.5,23.9
20.2,22.0
20.7,28.2
