min,max
20.4,29.7
19.6,24.2
18.9,24.5
16.6,21.5
15.6,19.0
15.8,22.9
17.5,26.3
17.9,29.9
18.1,30.0
18.5,26.7
21.2,27.9
21.8,31.3
22.5,32.4
18.5,30.6
19.6,26.4
19.9,28.8
19.6,26.0
19.8,26.0
20.21,27.8
20.6,27.8
18.4,23.2
16.6,20.4
16.7,22.7
18.0,23.6
18.8,26.7
19.7,26.0
20.3,25.9
19.5,24.0
20.0,26.8
19.5,26.4
19.8,29.3
20.21,30.5
20.2,28.0
20.3,28.8
20.0,28.5
20.3,28.2
19.5,31.2
19.6,31.9
20.2,31.6
21.2,28.5
21.1,29.0
21.1,28.7
19.2,23.3
17.7,19.6
17.6,21.7
19.0,25.4
19.3,27.7
20.0,30.9
20.3,30.0
20.4,30.5
20.3,29.2
21.3,30.0
22.1,31.4
20.3,30.0
21.2,26.1
19.6,26.3
19.7,27.1
20.0,29.2
21.0,31.5
22.1,33.4
22.8,32.3
24.0,31.7
22.8,30.7
21.6,32.7
22.8,32.2
21.1,25.6
20.8,31.8
20.1,28.9
20.8,27.2
20.1,24.9
20.3,29.5
20.4,25.3
20.0,28.0
20.7,27.9
18.9,28.1
18.3,27.9
18.1,25.8
19.4,26.0
18.9,31.4
19.1,31.7
19.5,30.1
20.3,29.6
20.6,27.7
21.4,29.5
21.6,29.3
20.2,26.4
20.9,25.4
22.0,28.7
21.4,28.3
