min,max
19.3,26.4
19.4,24.5
17.9,26.0
18.7,28.2
18.9,30.1
23.0,31.0
22.3,30.1
21.0,28.5
21.7,27.9
21.6,28.1
21.6,30.6
21.0,29.3
21.7,28.6
21.1,27.3
19.5,26.2
18.5,28.2
22.3,29.3
22.0,31.0
22.0,29.7
20.5,30.7
20.4,30.1
20.5,29.1
20.7,29.5
19.9,29.1
20.0,30.6
20.1,30.5
20.8,31.1
19.4,31.1
22.3,31.5
22.4,33.2
23.5,31.2
21.2,29.6
20.2,31.7
19.3,32.3
21.7,31.1
19.5,27.0
19.4,26.2
18.1,25.8
17.0,25.5
17.5,27.0
18.3,26.9
18.2,26.2
17.8,25.2
19.4,22.4
18.2,28.1
20.8,28.7
19.1,29.0
18.8,29.3
18.1,29.8
19.6,29.8
19.5,28.9
19.7,28.6
19.9,27.8
18.6,31.6
19.1,30.8
19.4,26.7
19.3,24.2
19.0,25.7
19.0,27.1
19.8,30.1
19.7,30.8
21.9,30.3
20.8,28.8
20.4,24.5
19.5,24.0
19.3,26.1
18.9,27.7
18.5,29.0
17.1,28.2
19.2,28.8
20.2,30.5
20.5,29.7
19.5,30.5
18.9,30.1
19.1,30.4
19.4,30.3
20.0,26.8
20.1,27.3
17.9,31.9
20.7,30.5
17.2,23.1
16.3,21.5
15.3,27.3
16.4,30.7
20.1,26.7
19.0,27.5
18.4,28.7
19.2,23.2
18.5,22.2
