min,max
19.6,23.9
18.8,20.9
18.5,21.6
20.0,25.5
20.8,29.8
19.9,28.7
20.6,27.7
20.4,28.8
20.0,30.5
21.6,28.8
19.3,28.2
19.4,27.3
20.2,26.3
20.2,27.8
20.7,28.7
20.5,30.1
20.7,26.1
20.3,29.7
20.5,28.9
20.9,27.8
20.8,30.4
21.0,31.4
19.0,31.4
18.8,32.1
20.3,31.3
20.2,31.2
22.1,32.3
22.5,32.8
23.8,32.3
22.6,33.3
22.5,29.2
21.1,26.6
20.2,28.9
20.5,24.6
20.7,27.0
21.3,31.9
21.9,32.6
21.6,31.3
21.1,31.3
22.0,31.9
23.5,31.5
22.2,31.3
19.9,31.7
22.5,30.7
21.2,30.2
20.2,26.1
19.0,29.1
19.0,28.2
19.0,28.5
20.6,29.4
19.3,31.4
19.2,30.4
19.5,30.4
20.5,28.8
20.3,30.2
20.8,30.0
21.3,29.1
20.4,30.7
18.6,25.0
18.9,22.5
17.3,20.7
16.3,20.1
17.7,22.0
17.7,21.6
16.9,23.4
17.1,28.9
17.4,22.7
17.7,25.9
18.4,27.6
20.5,28.6
20.6,23.7
20.5,27.0
20.4,28.5
19.8,23.8
18.2,20.4
18.1,25.4
19.6,28.6
18.8,22.0
19.5,32.9
21.7,32.0
20.9,32.5
20.7,30.4
19.8,25.8
17.8,20.5
17.8,24.4
18.1,26.1
17.3,21.7
16.2,26.7
19.0,25.2
