min,max
18.2,27.6
18.9,30.1
21.0,26.7
17.2,25.0
16.6,18.3
15.5,19.0
15.2,18.6
16.5,23.2
17.3,22.0
18.7,24.7
19.0,25.3
19.1,27.6
19.7,27.5
19.2,27.8
21.1,31.6
21.1,31.2
21.3,31.1
20.4,30.5
19.4,29.1
19.9,24.8
18.6,28.4
20.6,30.0
22.1,27.5
20.7,28.6
19.2,30.6
18.5,30.6
18.0,29.6
19.6,30.1
20.8,29.3
20.3,28.3
20.6,28.3
19.8,28.3
20.0,30.4
20.7,27.8
20.2,26.5
21.5,27.9
20.6,27.8
19.7,27.0
19.4,27.4
18.3,30.2
19.8,29.4
19.5,24.9
19.2,28.5
19.2,28.7
20.1,29.7
20.3,30.4
21.3,28.2
19.4,28.4
19.8,26.1
17.6,19.6
18.2,30.0
18.9,28.7
18.7,27.1
19.6,28.6
19.5,29.1
20.9,29.4
21.0,29.8
21.4,27.4
18.9,27.1
18.0,29.4
19.4,30.8
21.3,31.5
21.9,27.3
20.2,27.9
18.7,28.4
20.3,29.3
19.2,30.5
19.6,30.4
19.0,30.4
19.1,25.6
19.6,24.0
18.8,26.6
20.3,27.5
19.2,27.7
19.5,28.7
18.3,28.3
18.1,30.4
19.9,30.3
19.2,30.4
21.0,31.2
19.7,30.4
20.7,30.6
22.0,33.2
20.7,28.7
18.3,26.0
17.3,30.7
20.1,33.9
20.1,28.8
17.9,24.3
