min,max
19.4,31.0
21.9,30.5
19.8,30.8
19.7,30.1
23.2,30.0
22.2,29.9
19.3,29.6
20.5,30.0
21.1,30.5
21.0,30.3
21.4,29.4
20.9,25.7
19.3,27.5
20.8,31.9
20.8,29.4
19.2,28.5
19.7,23.8
20.2,22.7
19.5,25.4
18.6,23.4
18.0,21.7
17.1,21.9
18.6,25.0
19.8,29.6
21.4,27.8
19.3,24.6
20.3,25.2
20.5,30.0
21.0,30.6
20.3,28.5
20.1,28.4
19.5,27.2
19.4,27.1
20.6,28.2
20.3,27.4
19.8,30.9
20.2,30.5
19.4,29.0
20.7,28.1
19.2,27.5
19.8,28.8
21.0,31.1
21.6,31.1
22.5,31.2
21.3,31.9
22.0,32.2
21.2,31.3
21.0,32.3
21.0,32.9
22.5,33.5
21.3,33.1
20.0,31.3
20.5,31.8
21.7,32.1
18.6,28.9
19.3,23.2
20.1,26.2
19.9,27.4
19.3,29.2
21.3,30.2
22.9,28.1
20.3,27.2
21.0,28.2
20.3,27.9
20.9,27.3
16.9,29.5
19.6,27.6
20.7,30.9
21.2,30.4
22.1,30.0
21.0,30.6
21.3,26.7
19.7,25.8
20.0,27.6
19.6,29.8
20.2,28.0
18.5,21.6
16.6,19.4
19.2,21.3
19.6,22.7
20.2,28.6
21.5,27.7
19.9,28.3
20.0,28.1
20.9,28.6
21.5,25.7
19.3,24.0
19.1,24.4
20.1,24.6
