min,max
20.3,28.5
21.7,26.7
20.1,25.2
18.0,28.2
17.5,28.3
19.9,27.2
16.4,19.7
18.1,21.1
18.2,25.1
18.9,28.7
19.9,29.5
19.3,24.2
19.0,26.1
19.5,29.6
20.8,29.0
20.7,28.7
21.2,30.7
22.2,31.3
20.4,28.3
20.0,29.0
19.6,29.6
20.7,31.3
20.9,32.1
20.7,32.7
21.4,29.6
20.3,24.3
18.4,25.4
19.7,30.5
20.5,25.9
18.1,21.2
17.1,25.7
18.3,27.1
18.7,26.5
18.7,25.4
17.0,24.5
18.1,24.6
17.8,23.8
18.7,28.0
17.6,28.9
19.4,32.9
19.4,29.6
20.5,30.9
22.7,30.5
18.9,23.5
18.0,21.9
17.7,24.1
17.0,24.5
17.9,26.2
19.7,24.0
18.7,26.1
21.1,27.2
21.6,29.2
20.5,29.2
19.4,27.1
17.8,26.6
17.6,25.7
19.6,26.6
19.0,27.4
19.3,29.8
20.9,30.5
21.1,30.9
20.1,29.0
20.9,29.7
20.5,29.4
20.7,29.7
21.1,28.2
20.4,23.3
19.3,26.1
20.0,27.7
19.3,30.2
20.5,30.7
20.5,29.3
21.4,32.6
19.7,30.4
22.1,29.8
21.2,29.9
19.7,30.6
21.5,32.4
22.3,32.0
21.8,32.2
21.0,28.7
20.0,27.6
19.2,24.1
17.9,26.5
19.1,28.1
19.0,29.1
18.8,29.5
19.3,31.9
19.0,30.0
