min,max
20.0,32.4
20.2,28.1
18.9,24.5
18.5,25.1
18.7,27.0
18.2,29.8
21.4,31.0
20.4,29.8
20.5,28.9
22.6,30.5
23.6,30.6
21.6,26.0
20.2,25.3
19.0,26.3
19.8,31.1
21.4,31.4
17.2,23.1
17.3,23.6
18.7,25.2
19.2,25.1
17.1,27.1
18.1,25.5
18.5,20.8
17.8,23.2
16.7,26.8
16.4,30.3
16.9,33.5
20.1,32.6
20.0,31.5
22.3,29.4
21.8,28.2
20.1,28.4
20.5,28.1
19.5,26.1
18.6,26.2
21.0,29.0
20.0,28.0
20.5,26.8
19.8,29.7
21.8,28.2
18.5,22.1
16.2,20.2
17.0,20.5
17.3,26.6
16.7,27.2
18.4,31.0
20.6,31.1
20.6,32.4
21.1,31.3
21.8,30.6
22.3,28.8
20.8,23.5
17.1,20.8
16.2,23.0
17.7,25.9
18.9,28.1
20.7,24.2
15.7,21.4
16.7,19.8
18.0,24.0
17.3,22.7
17.3,24.0
16.5,21.8
15.8,24.0
16.1,24.9
16.1,24.5
16.3,26.7
16.8,25.5
17.4,27.6
18.6,29.6
18.5,28.4
18.6,28.7
18.7,30.9
19.9,31.1
19.5,31.9
20.9,30.6
19.6,28.9
19.9,31.4
21.8,28.6
20.9,31.4
18.7,22.5
18.1,24.2
18.2,23.8
16.7,23.1
16.4,25.4
18.7,24.3
18.9,25.8
19.2,29.0
19.3,29.7
20.3,27.5
